"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1897072061765574714","Tue Mar 04 23:50:00 +0000 2025","0","Banjir taun ini tuh kaya banjir 5 tahun an terakhir banjir parah tuh tahun 2020an","1897072061765574714","","","in","","0","0","0","https://x.com/alynnnnka/status/1897072061765574714","1346829839257354242","alynnnnka"
"1897003175355539732","Tue Mar 04 23:49:47 +0000 2025","0","@Pai_C1 banjir pun buka ya","1897072009747775557","","Pai_C1","in","","0","0","0","https://x.com/dokiboet/status/1897072009747775557","1798698535053131776","dokiboet"
"1896905447900377140","Tue Mar 04 23:49:32 +0000 2025","0","@Ayliinunm_ gue nyari info ciledug ciledug udh reda blm tapi ga paham lagi may yg biasa gue lewatin itu ciledug indah atau ciledug raya soalnya satunya kering satunya masih banjir tp kayaknya klo mau aman lewat alsut aja lewat tangerang kota tp lebih jauh 10km ","1897071945629528314","","Ayliinunm_","in","","0","1","0","https://x.com/sousyoi/status/1897071945629528314","911364642202513408","sousyoi"
"1897057556591469011","Tue Mar 04 23:49:09 +0000 2025","4","@sami86pilang @X_Rpri @Arkana_Buana @Roebanie @hope_emak @dulkeny26522557 @ArdySoen6 @Alparslankrkhn @RPrima789 @vanniaaurora @sammi_ananta pagiiii...... trimakasih @sami86pilang pagi ini aku pulang dari ngungsi bersih bersih lumpur banjir ","1897071850611728778","","sami86pilang","in","","0","2","1","https://x.com/yangmi3prnew/status/1897071850611728778","1531957384213843970","yangmi3prnew"
"1897071845926690859","Tue Mar 04 23:49:08 +0000 2025","6","Jalan Haji Sarimun Jakarta Barat masih terendam banjir dengan ketinggian air mencapai 1 meter Rabu (5/3) Pagi. Ale #InfoBanjirElshinta https://t.co/UAK0AHILfd","1897071845926690859","https://pbs.twimg.com/ext_tw_video_thumb/1897071316253147136/pu/img/3WaRM5VTaDSKXYmk.jpg","","in","","0","0","2","https://x.com/RadioElshinta/status/1897071845926690859","121640063","RadioElshinta"
"1896929116425011343","Tue Mar 04 23:48:56 +0000 2025","0","@marimassoklat semoga banjir dii bekasi cepett surut yaa!semangat teruss️","1897071794613576160","","marimassoklat","in","Indonesia","0","1","0","https://x.com/sepnote/status/1897071794613576160","1046061","sepnote"
"1896985854536769738","Tue Mar 04 23:48:56 +0000 2025","3","@bacottetangga__ Di pager.. orang gk boleh lewat.. giliran banjir bagi2..... lagian air seluas gtu d buang ke got.. mana cukup....","1897071794231894307","","bacottetanggaid","in","","0","0","1","https://x.com/VolzZar/status/1897071794231894307","1701752608812421120","VolzZar"
"1896878325848739895","Tue Mar 04 23:48:37 +0000 2025","0","@ardisatriawan Hmm padahal dulu ada banjir jabodetabek bisa sampai jadi isu politik. Bahkan gorong gorong aja bisa ko","1897071716406644792","","ardisatriawan","in","Amegakure","0","0","0","https://x.com/Userword_/status/1897071716406644792","1462737176844636165","Userword_"
"1896864055308308914","Tue Mar 04 23:48:35 +0000 2025","0","@johatshu aku gatau dirumah sender lumpurnya setinggi apa tapi aku dirumah biasanya kalok banjir pakek sekop aer yang panjang itu paling ampuh. kalok dirumah lumpurnya tipis tapi keramik fully covered. jangan nunggu kering makin susah kalok aku","1897071708831629700","","johatshu","in","","0","0","0","https://x.com/nicedime/status/1897071708831629700","1740987063590346752","nicedime"
"1897056972320727411","Tue Mar 04 23:48:22 +0000 2025","0","@sepiberbisik Pas banget sekarang lg banyak banjir","1897071654423118233","","sepiberbisik","in","Louisiana, USA","0","0","0","https://x.com/pigupy/status/1897071654423118233","2264271068","pigupy"
