conversation_id_str,created_at,username,full_text,kota_kabupaten,retweet_count,favorite_count,cleaned_text,normalized_text,input_ids,attention_mask,labels
1896905447900377140,Tue Mar 04 23:49:32 +0000 2025,sousyoi,@Ayliinunm_ gue nyari info ciledug ciledug udh reda blm tapi ga paham lagi may yg biasa gue lewatin itu ciledug indah atau ciledug raya soalnya satunya kering satunya masih banjir tp kayaknya klo mau aman lewat alsut aja lewat tangerang kota tp lebih jauh 10km,Tangerang,0,0,gue nyari info ciledug ciledug udh reda blm tapi ga paham lagi may yg biasa gue lewatin itu ciledug indah atau ciledug raya soalnya satunya kering satunya masih banjir tp kayaknya klo mau aman lewat alsut aja lewat tangerang kota tp lebih jauh km,gue mencari info ciledug ciledug sudah reda belum tapi enggak paham lagi mau yang biasa gue lewatin itu ciledug indah atau ciledug raya soalnya satunya kering satunya masih banjir tapi kayaknya kalo mau aman lewat alsut saja lewat tangerang kota tapi lebih jauh kamu,"[2, 2526, 11191, 1617, 24557, 24557, 13131, 27426, 10698, 469, 525, 4710, 423, 2481, 741, 1167, 2526, 21177, 30355, 137, 24557, 1972, 158, 24557, 2264, 5518, 3040, 3212, 3040, 419, 5138, 3478, 8964, 3988, 422, 1703, 2145, 22771, 63, 1465, 2145, 4078, 626, 3478, 216, 1229, 1659, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
1897071845926690859,Tue Mar 04 23:49:08 +0000 2025,RadioElshinta,Jalan Haji Sarimun Jakarta Barat masih terendam banjir dengan ketinggian air mencapai 1 meter Rabu (5/3) Pagi. Ale #InfoBanjirElshinta https://t.co/UAK0AHILfd,Jakarta Barat,2,6,jalan haji sarimun jakarta barat masih terendam banjir dengan ketinggian air mencapai meter rabu pagi ale,jalan haji sarimun jakarta barat masih terendam banjir dengan ketinggian air mencapai meter rabu pagi ale,"[2, 795, 4679, 5009, 10000, 678, 1147, 419, 23433, 5138, 79, 6417, 514, 1408, 3215, 3967, 2208, 200, 30357, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0
1896929116425011343,Tue Mar 04 23:48:56 +0000 2025,sepnote,@marimassoklat semoga banjir dii bekasi cepett surut yaa!semangat teruss️,Bekasi,0,0,semoga banjir dii bekasi cepett surut yaasemangat teruss,semoga banjir di bekasi cepett surut yaasemangat terus,"[2, 1671, 5138, 21406, 3661, 14302, 30358, 6887, 5633, 6171, 276, 944, 30362, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0
1896754335964614850,Tue Mar 04 23:48:03 +0000 2025,budiMT,@txtdrbekasi Jangan beli rokok lagi bang rokok dapat menyebabkan banjir,Bekasi,0,0,jangan beli rokok lagi bang rokok dapat menyebabkan banjir,jangan beli rokok lagi bang rokok dapat menyebabkan banjir,"[2, 843, 1320, 5534, 423, 1719, 5534, 173, 1618, 5138, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0
1897053533788393706,Tue Mar 04 23:47:18 +0000 2025,todo_cihuy,@LeleSop @txtdrbekasi Infonya subuh tadi belum dan depan toko yoehan masih banjir bang,Bekasi,0,0,infonya subuh tadi belum dan depan toko yoehan masih banjir bang,infonya subuh tadi belum dan depan toko yoehan masih banjir bang,"[2, 8752, 12600, 2447, 659, 41, 1219, 1605, 1951, 7990, 419, 5138, 1719, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0
1896820649588613143,Tue Mar 04 23:46:54 +0000 2025,sousyoi,@awsarsaparila kemarin gue ga bisa lewat di ciledug banjir trs macet parah gue diajak kakak kakak gitu lewat gang buat balik ke arah rumah jadinya gaboleh juga sama ibu gue buat lanjut taunya di cikarang jg banjir. temen gue yg tinggal di daerah jakbar aja gabisa balik kemarin dr kantor,Jakarta Barat,0,0,kemarin gue ga bisa lewat di ciledug banjir trs macet parah gue diajak kakak kakak gitu lewat gang buat balik ke arah rumah jadinya gaboleh juga sama ibu gue buat lanjut taunya di cikarang jg banjir temen gue yg tinggal di daerah jakbar aja gabisa balik kemarin dr kantor,kemarin gue enggak bisa lewat di ciledug banjir terus macet parah gue diajak kakak kakak begitu lewat gang buat balik ke arah rumah jadinya gaboleh juga sama ibu gue buat lanjut taunya di cikarang juga banjir teman gue yang tinggal di daerah jakbar saja enggak bisa balik kemarin dari kantor,"[2, 3601, 2526, 525, 166, 2145, 26, 24557, 5138, 21565, 9558, 4762, 2526, 8139, 5213, 5213, 4122, 2145, 10357, 968, 2687, 43, 2069, 448, 9802, 4549, 178, 186, 500, 1066, 2526, 968, 1727, 24622, 27, 26, 10320, 6162, 5138, 6141, 2526, 741, 1375, 26, 719, 5234, 2257, 1465, 4549, 2748, 2687, 3601, 1008, 1571, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
1897071026695233554,Tue Mar 04 23:45:53 +0000 2025,wotasepur,PT KAI Daerah Operasi (Daop) 2 Bandung mengungkapkan bahwa banjir di Kabupaten dan Kota Bekasi yang terjadi sejak Selasa pagi sempat menyebabkan dua KA Parahyangan relasi Stasiun Gambir-Bandung mengalami keterlambatan. https://t.co/bp0PnbEPJr,Bekasi,0,0,pt kai daerah operasi daop bandung mengungkapkan bahwa banjir di kabupaten dan kota bekasi yang terjadi sejak selasa pagi sempat menyebabkan dua ka parahyangan relasi stasiun gambirbandung mengalami keterlambatan,pt kai daerah operasi daop bandung mengungkapkan bahwa banjir di kabupaten dan kota bekasi yang terjadi sejak selasa pagi sempat menyebabkan dua kak parahyangan relasi stasiun gambirbandung mengalami keterlambatan,"[2, 914, 11426, 719, 2394, 483, 246, 1574, 4499, 313, 5138, 26, 1133, 41, 626, 3661, 34, 597, 1098, 3943, 2208, 2740, 1618, 662, 1187, 4762, 17939, 11113, 3904, 23545, 14103, 1309, 15782, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0
1896929116425011343,Tue Mar 04 23:45:43 +0000 2025,MariaFrans7481,@marimassoklat semoga banjir Bekasi segera surut,Bekasi,0,0,semoga banjir bekasi segera surut,semoga banjir bekasi segera surut,"[2, 1671, 5138, 3661, 1397, 6887, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0
1897070979287072989,Tue Mar 04 23:45:41 +0000 2025,soetanahasby,Banjir di Kota Jakarta Kabupaten Bogor Kabupaten Bekasi dan Kota Bekasi serta Kabupaten Tangerang.,DKI Jakarta,0,0,banjir di kota jakarta kabupaten bogor kabupaten bekasi dan kota bekasi serta kabupaten tangerang,banjir di kota jakarta kabupaten bogor kabupaten bekasi dan kota bekasi serta kabupaten tangerang,"[2, 5138, 26, 626, 678, 1133, 3286, 1133, 3661, 41, 626, 3661, 501, 1133, 4078, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0
1897070969065537734,Tue Mar 04 23:45:39 +0000 2025,uputreey,Bekasi b nya banjir lah bangkek,Bekasi,0,0,bekasi b nya banjir lah bangkek,bekasi b nya banjir lah bangkek,"[2, 3661, 13, 1107, 5138, 1389, 3481, 71, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0
