cleaned_text,sentiment_label
ini di beji smoga menyusul aksi cepat tanggap di kecamatan lainnya ada titik banjir di depok,1
alhamdulillah depok aman teh klo depok banjir jakarta tenggelem,2
mas pikir kalok gak dinyinyirin pemerintah tau kerjaannya apa wakil rakyat tau kerjaannya apa kalok gak dinyinyirin netizen seindonesia rkuhp gak akan dikaji ulang fyi anggaran dana untuk menanggulangin banjir dipotong pemprov jakarta,0
bogor banjir jakarta bilek,1
apresiasi yang setinggitingginya buat polri yang bantu evakuasi dan salurkan bantuan untuk korban banjir di bekasi dan depok kalian keren,2
semoga banjir di jakarta bekasi dan sekitarnya segera surut tidak ada korban jiwa dan pemerintah gerak cepat dalam memberikan bantuan serta penanganan ada amin,1
salut buat polri yg gercep bantu korban banjir di bekasi amp depok aksi nyata kyk gini penting bgt tetap semangat lihat di sini,2
dunia sedang tidak baikbaik saja banjir bandang bekasi,0
tetap semangat ya warga dki bekasi bogor dan tangerang di suasana pemerintah lagi berhemat buat merdeka bapak presiden,0
polisi wanita polres metro jakarta barat menyalurkan bantuan sosial kepada masyarakat yang terdampak banjir di wilayah kebon jeruk jakarta barat bantuan sosial yang diberikan berupa paket sembako dan makanan ringan untuk meringankan beban warga,2
jakarta yang sudah tidak jadi ibu kota apa parte seputar ibu kota yang udah bubar biasanya para keder parte seputar ibu kota pada ribut klo jakarta banjir,1
jakarta banjir psi ga kedengeran bacotnya,0
curah hujan dan alih fungsi lahan memicu bencana di kawasan puncak bogor jawa barat selain banjir bencana di sana berupa longsor hingga banjir bandang,0
di setiap langkah bhayangkara selalu ada tak gentar menghadapi tantangan polri hadir untuk melindungi dan membawa rasa aman bagi masyarakat dalam penanganan banjir di beberapa wilayah seperti bekasi depok dan pesanggrahan,2
harusnya pemerintah republik ini mulai ngumpulin seluruh insinyur yg berkompeten sih setelah kejadian banjir di bekasi dan puncak kemarin,1
kalo banjir bekasi solusinya gmn pak,0
makanya belajar gais jadi warga yg bertanggung jawab kalo udah banjir aja nyalahinnya pemerintah padahal pemerintah udah berusaha buat jakarta jd bersih lo nya aja pada ngga mikir dan masih buang sampah sembarangan ckckck miris,2
eh tolol listrik bekasi udh mati mau jam lo lg ngapain apa updatenya apa penyebabnya banjir udh surut lo jam lo ngapain aja hah,0
harusnya rk jadi gubernur walaupun jakarta tetep banjir seenggaknya punya masjid aljakbar,0
kementerian pu melalui direktorat jenderal cipta karya memobilisasi perahu karet beserta mesin untuk membantu mengevakuasi masyarakat terdampak bencana banjir di kota bekasi jawa barat,2
gubernur dki jakarta pramono anung meminta seluruh pemerintah yang ada di wilayah provinsi dki jakarta untuk terus hadir bersama masyarakat dalam kondisi banjir seperti saat ini kami tidak menyalahkan siapapun ini tanggung jawab pemerintah jakarta tapi tolong betulbetul,2
banjir stop produksi indo kordsa bram pabrik bram di bogor terpaksa tutup karena banjir amp dinyatakan force majeure apa dampaknya terhadap rantai pasok dan keuangan perusahaan,0
kenapa bekasi banjirkarena rawa dibikin pemukiman penduduk contoh rawa lumbu rawa kalong rawa bebek perbatasan rawa julang rawa bambu kan namanya juga rawatempat nya air,0
potret kesigapan personel tim sar batalyon b pelopor satbrimob polda metro jaya dan basarnas mengevakuasi warga terdampak banjir yang melanda wilayah kebon pala jatinegara jakarta timur,2
adakah yang bisa memberikan foto ataupun video di posko pengungsian banjir,1
pulang ke bekasi disambut berita banjir dimana skaksksk stay safe ya warga bekasi,1
pln siaga pastikan kelistrikan aman pasca banjir di bekasi,2
mengkritik kinerja pemerintah bukanlah hal politik jadi ga ada kata paham n ga paham tapi untuk kepentingan bersama ke depannya supaya di perbaiki bahwa bagi warga jakarta lebih penting mengurangi dampak banjir daripada formula e dan lem aibon,0
sbtlnya ada pakar banjir dari solo sesuai iklannya mudah mengatasi banjir jakarta,1
video opsi relokasi warga pgp bekasi sebab banjir datang berulang kali,2
pemerintah siapakan rusun bagi warga terdampak banjir jakarta,2
masih banjir kah bekasi,1
